strategy,node_id,body_zone,actuator_type,final_PT,final_PE,final_PSM,final_NPSM,final_TU,final_state,battery_level_pct,radio_active_time_s,energy_consumed_j,packet_count,allocated_sync_interval_ms,allocated_beacon_interval_ms,allocated_radio_wakeup_interval_ms,allocated_transmit_power_pct,allocated_trigger_offset_ms
Uniform,HN-015,Torso,ERM,77.175,39.991823802357835,37.18317619764216,0.48180338448515925,51.819661551484074,NOMINAL,96.6639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-19.29
Uniform,HN-016,Torso,ERM,77.175,60.023132817752426,17.15186718224757,0.22224641635565368,77.77535836443464,ELEVATED,85.4639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-32.88
Uniform,HN-017,Torso,ERM,77.175,40.11720382318619,37.05779617681381,0.48017876484371635,51.982123515628366,NOMINAL,86.4639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-16.58
Uniform,HN-018,Torso,ERM,77.175,28.48506376556418,48.68993623443582,0.6309029638410861,36.909703615891395,RELAXED,95.1639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-14.34
Uniform,HN-019,Torso,ERM,77.175,35.87511345005542,41.299886549944574,0.535145922253898,46.4854077746102,NOMINAL,97.6639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-13.05
Uniform,HN-020,Torso,ERM,77.175,10.897569426277409,66.27743057372258,0.8587940469546173,14.12059530453827,RELAXED,85.0639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-8.78
Uniform,HN-021,Leg,ERM,71.66250000000001,34.63911101709647,37.02338898290354,0.5166354646140385,48.336453538596146,NOMINAL,91.9639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-13.79
Uniform,HN-022,Leg,ERM,71.66250000000001,27.105458738658267,44.55704126134174,0.6217623061062861,37.82376938937138,RELAXED,86.7639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-22.34
Uniform,HN-023,Leg,ERM,71.66250000000001,16.339572816542997,55.32292718345701,0.7719927044612873,22.800729553871264,RELAXED,87.1639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-13.58
Uniform,HN-024,Leg,ERM,71.66250000000001,19.74087815598796,51.92162184401205,0.7245298704903128,27.547012950968718,RELAXED,87.1639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-14.52
Uniform,HN-025,Leg,ERM,71.66250000000001,42.42973462993359,29.232765370066417,0.407922768115352,59.2077231884648,NOMINAL,85.7639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-25.2
Uniform,HN-026,Leg,ERM,71.66250000000001,32.300063770635,39.36243622936501,0.5492752308301414,45.07247691698586,NOMINAL,85.2639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-26.7
